Name,Gender,Department,Salary,Loc,Rating
Vassili Flay,,Research and Development,"$108,970 ",Wellington,Average
Halimeda Kuscha,Female,Engineering,"$112,570 ",Wellington,Poor
Charmaine Howie,Male,Accounting,"$56,810 ",Los Angeles,Poor
Norrie Grahl,,Business Development,"$42,950 ",Wellington,Poor
Ulick Maingot,Female,Services,"$42,820 ",Los Angeles,Average
Millie Fiveash,Female,Sales,"$57,080 ",Los Angeles,Average
Kayley Southwell,Female,Marketing,"$101,670 ",Los Angeles,Average
Reena McKernan,Female,Marketing,"$104,750 ",Los Angeles,Average
Seward Kubera,Male,Engineering,"$43,330 ",Wellington,Very Good
Rois Garrigan,Male,Accounting,"$61,430 ",Los Angeles,Poor
Euell Willoughley,Male,Product Management,"$105,800 ",Los Angeles,Very Good
Lindi Morfey,Male,Training,"$99,470 ",Los Angeles,Good
Gradey Litton,Female,Accounting,"$68,890 ",Los Angeles,Good
Iris Wagg,Female,NULL,"$58,860 ",Los Angeles,Average
Angeline Christophersen,Female,Engineering,"$86,940 ",Los Angeles,Average
Farrel Vanyatin,Male,Support,"$118,120 ",Bellevue,Average
Kienan Epinay,Male,Marketing,"$91,120 ",Los Angeles,Poor
Aloisia Minto,Male,Research and Development,"$41,420 ",Wellington,Good
Melisa Knott,Female,Training,"$86,010 ",Los Angeles,Average
Koral Gerriet,Male,Support,"$30,080 ",Wellington,Average
Constantino Espley,Male,Accounting,"$96,800 ",Wellington,Average
Desi Peniman,Female,Legal,"$31,090 ",Bellevue,Average
Torrance Collier,Female,Training,"$96,140 ",Bellevue,Good
Ede Mignot,Female,Research and Development,"$98,640 ",Los Angeles,Good
Marcia Muldrew,Female,Sales,"$71,510 ",Bellevue,Good
Quintina Kilgannon,Female,Legal,"$86,490 ",Los Angeles,Poor
Peria Revey,,Engineering,"$103,240 ",Los Angeles,Good
Carry Loblie,Female,Sales,"$47,550 ",Los Angeles,Average
Isadora Maunsell,Male,Sales,"$78,490 ",Wellington,Average
Tamara Couvet,Female,Engineering,"$61,050 ",Wellington,Average
Von Boeter,Male,Product Management,"$36,370 ",Bellevue,Good
Forester Feakins,Male,Business Development,"$47,290 ",Wellington,Average
Gardy Eckersall,Male,Sales,"$79,650 ",Los Angeles,Good
Gamaliel Ewins,Male,Product Management,"$119,660 ",Wellington,Average
Win Arthurs,Female,Support,"$43,200 ",Wellington,Average
Richy Gray,Female,Product Management,"$89,830 ",Los Angeles,Very Good
Patricia Dwelly,Male,Accounting,"$91,500 ",Bellevue,Poor
Erv Balmann,Female,Services,"$29,670 ",Bellevue,Very Good
Demetria Le Estut,Female,Support,"$75,720 ",Wellington,Very Poor
Deedee Ciotto,Male,NULL,"$34,830 ",Bellevue,Poor
Evanne Sheryn,Female,Services,"$81,900 ",Wellington,Average
Collette Blackaller,Female,Human Resources,"$42,380 ",Los Angeles,Good
Mariann Mowat,Male,Marketing,"$32,620 ",Los Angeles,Good
Tabbatha Pickston,Male,Marketing,"$72,040 ",Wellington,Average
Vlad Strangeway,Male,Product Management,"$77,740 ",Wellington,Good
Duky Wallace,Male,Business Development,"$102,140 ",Los Angeles,Average
Townie Dongall,Male,Legal,"$48,630 ",Los Angeles,Not Rated
Shana Bewly,Female,Legal,"$105,960 ",Wellington,Poor
Mick Tanguy,Female,Research and Development,"$97,400 ",Bellevue,Good
Tadio Audritt,,Human Resources,"$99,450 ",Wellington,Average
Torey Rosell,Male,Accounting,"$82,670 ",Los Angeles,Average
Chrisy Kyme,Female,Marketing,"$99,200 ",Bellevue,Very Good
Morten Dumphy,Male,Legal,"$111,480 ",Los Angeles,Poor
Issy McLevie,Male,Research and Development,"$84,940 ",Los Angeles,Poor
Michaeline Capehorn,Female,Support,"$95,340 ",Bellevue,Poor
Corny Linturn,Female,Product Management,"$47,960 ",Los Angeles,Poor
Berny Bastide,,Research and Development,"$56,710 ",Los Angeles,Average
Aindrea Lenormand,Female,Human Resources,"$71,180 ",Wellington,Good
Nels McClounan,Male,Training,,Wellington,Average
Shanon Deverell,Female,Research and Development,"$78,180 ",Bellevue,Very Good
Vaughn Carvill,Female,Training,"$84,750 ",Bellevue,Average
Kora Allebone,Female,Legal,"$98,970 ",Bellevue,Not Rated
Millard Brakewell,Male,Product Management,"$76,560 ",Los Angeles,Good
Lizzie Mullally,Male,Support,,Los Angeles,Average
Florie Tortoise,Female,Sales,"$35,930 ",Wellington,Average
Caro Chappel,Female,Sales,"$104,410 ",Los Angeles,Average
Letisha Carrett,Female,Sales,"$84,600 ",Wellington,Very Poor
Melva Jickells,Female,Product Management,"$68,800 ",Bellevue,Poor
Sadie Ratt,Male,NULL,"$38,660 ",Bellevue,Good
Riccardo Hagan,Male,Human Resources,"$86,560 ",Wellington,Average
Chauncey Schild,Female,Support,"$107,340 ",Wellington,Average
Amery Ofer,Female,Legal,"$111,050 ",Wellington,Very Good
Aube Chadderton,Female,Human Resources,,Wellington,Average
Michaella Perri,Male,Training,"$75,320 ",Bellevue,Very Poor
Mord Cromblehome,Male,Legal,"$57,910 ",Los Angeles,Average
Major O'Cahsedy,Female,Legal,"$29,490 ",Wellington,Not Rated
Joana Bartocci,Male,Human Resources,"$52,670 ",Los Angeles,Average
Sly Cowley,Male,Accounting,"$48,530 ",Wellington,Average
Augusta Cheetham,Male,Research and Development,"$105,470 ",Wellington,Average
Diarmid Alman,Female,Training,"$98,200 ",Wellington,Poor
Gearard Wixon,Male,Human Resources,"$106,190 ",Wellington,Very Good
Kaye Crocroft,Male,Sales,"$52,610 ",Bellevue,Poor
Egor Minto,,Legal,"$63,450 ",Wellington,Good
Bren Absolon,Male,Accounting,"$74,710 ",Wellington,Good
Alexine Portail,Female,Sales,"$60,330 ",Bellevue,Average
Duffie Ibel,Male,Sales,"$61,010 ",Los Angeles,Average
Gilles Jaquet,Female,Accounting,"$76,300 ",Los Angeles,Not Rated
Payton Pickervance,Male,Marketing,"$117,020 ",Los Angeles,Average
Barny Fairweather,Male,Marketing,"$77,130 ",Bellevue,Very Poor
Margot Royds,Female,Human Resources,"$106,930 ",Bellevue,Average
Frederik Dartan,Male,Engineering,"$62,090 ",Wellington,Very Good
Aubert Wedmore.,Female,Marketing,"$61,330 ",Bellevue,Average
Krystal Lambswood,Female,Training,"$41,600 ",Wellington,Not Rated
Nanice Boatwright,,Marketing,"$105,870 ",Wellington,Very Poor
Northrup Aires,Female,Human Resources,"$118,300 ",Los Angeles,Average
Janina Wolverson,Female,Research and Development,"$99,680 ",Los Angeles,Good
Floria Olivia,Female,Sales,"$101,500 ",Wellington,Good
Andrea Becker,Female,Human Resources,"$46,160 ",Los Angeles,Average
Louise Lamming,Female,Sales,"$41,930 ",Bellevue,Average
Renaldo Thomassin,Male,Business Development,"$73,360 ",Los Angeles,Average
Carmel Pancoust,Female,Services,"$119,550 ",Wellington,Good
Tatum Hush,Female,Human Resources,"$53,240 ",Wellington,Good
Aldrich Glenny,Male,Business Development,"$90,880 ",Los Angeles,Average
Calvin O'Carroll,Female,Research and Development,"$44,450 ",Los Angeles,Very Poor
Griz Thorington,Male,Support,"$47,670 ",Wellington,Average
Greta Bagehot,Female,NULL,"$111,420 ",Los Angeles,Not Rated
Eddy Stolze,Male,Training,"$47,760 ",Los Angeles,Average
L;urette Bontein,Male,Product Management,"$47,650 ",Wellington,Good
Cindee Saice,Female,Services,"$103,360 ",Wellington,Very Good
Erin Androsik,Male,Human Resources,"$48,530 ",Los Angeles,Poor
Genovera Ghost,Male,Marketing,"$72,160 ",Los Angeles,Average
Felicdad Heibel,Male,Business Development,"$60,800 ",Wellington,Average
Jobey Boneham,Female,Services,"$74,010 ",Los Angeles,Average
Radcliffe Fairpool,Female,Services,"$60,760 ",Bellevue,Very Good
Gigi Bohling,Male,Engineering,"$74,550 ",Bellevue,Average
Gare Mattiussi,Male,Engineering,"$32,500 ",Wellington,Poor
Carlin Demke,Male,Business Development,"$110,040 ",Bellevue,Good
Wilt Wayvill,Female,Legal,"$99,750 ",Los Angeles,Average
Ardyce Eacott,Female,Human Resources,"$92,470 ",Los Angeles,Average
Lane Monteaux,Female,Engineering,"$109,980 ",Los Angeles,Average
Cathi Gillbee,Male,Legal,"$41,790 ",Wellington,Average
Ronnie Mesias,Male,Support,"$86,360 ",Los Angeles,Very Poor
Hali Behnecke,Male,Human Resources,"$65,570 ",Los Angeles,Very Good
Grady Rochelle,Female,Accounting,"$69,160 ",Los Angeles,Very Good
Crissie Cordel,Female,Product Management,"$41,570 ",Wellington,Good
Durand Backhouse,Female,Sales,"$83,400 ",Los Angeles,Poor
Wendel Malletratt,Male,Business Development,"$67,660 ",Los Angeles,Very Poor
Shellysheldon Ellerman,Female,Product Management,"$34,470 ",Wellington,Good
Emmeline Bestwerthick,Female,Sales,"$38,240 ",Los Angeles,Not Rated
Marmaduke Worssam,Female,Engineering,"$78,380 ",Wellington,Very Poor
Murial Ickovici,Female,Business Development,"$72,500 ",Bellevue,Average
Honoria Cootes,Female,Engineering,"$115,640 ",Wellington,Average
Garvin Delacroix,Male,NULL,"$46,250 ",Wellington,Average
Merrel Blind,Female,Product Management,"$82,120 ",Bellevue,Average
Rosamond Fishe,Male,Services,"$108,160 ",Bellevue,Good
Shelley Moncreiffe,Male,Sales,"$108,360 ",Wellington,Average
Cecilla Joselevitch,Female,Human Resources,"$77,840 ",Wellington,Poor
Jolynn Behnecken,Female,Services,"$85,180 ",Los Angeles,Poor
Adolph McNalley,Male,Business Development,"$85,920 ",Wellington,Poor
Pippy Roxby,Female,Human Resources,"$106,490 ",Los Angeles,Average
Jessi Calterone,Male,Legal,"$38,520 ",Bellevue,Poor
Moore Gligoraci,Female,Training,"$49,530 ",Bellevue,Average
Mallory Goldsberry,Male,Product Management,"$29,610 ",Wellington,Average
Nerissa Kavanagh,Male,Training,"$84,170 ",Wellington,Good
Foss Asquez,Male,Support,"$92,190 ",Wellington,Average
Ab Lehrian,Male,NULL,"$82,240 ",Bellevue,Average
Mickey Pybus,Male,Human Resources,"$87,850 ",Los Angeles,Good
Timmy Brenston,Male,Business Development,"$43,700 ",Bellevue,Average
Romona Melody,Female,Services,"$88,690 ",Bellevue,Not Rated
Bendite Bloan,Male,Marketing,"$31,820 ",Bellevue,Average
Andrea Penfold,Male,Marketing,"$70,230 ",Los Angeles,Average
Shari Pickston,Male,Legal,"$96,320 ",Wellington,Average
Dennison Crosswaite,Male,Legal,"$90,700 ",Wellington,Very Poor
Lucias Minico,Female,Services,"$67,960 ",Los Angeles,Average
Helaine Lyddy,Male,Services,"$103,110 ",Los Angeles,Good
Carlene Torry,Female,Engineering,"$59,610 ",Bellevue,Good
Vere Kulic,Male,Legal,"$66,570 ",Wellington,Poor
Enrichetta Mowles,Female,Accounting,"$74,390 ",Los Angeles,Average
Delinda Snozzwell,,Engineering,"$67,010 ",Wellington,Good
Cecilio Sprankling,Male,Research and Development,"$109,710 ",Wellington,Average
Nickolai Artin,Female,Product Management,"$110,910 ",Bellevue,Average
Beryl Burnsyde,Male,Legal,"$29,770 ",Wellington,Very Good
Ambrosio Daniely,Female,Support,"$80,060 ",Los Angeles,Very Good
Simon Kembery,Male,Training,"$99,750 ",Bellevue,Average
Brig Dewi,Male,Sales,"$108,250 ",Bellevue,Average
Althea Bronger,Male,Product Management,"$104,340 ",Los Angeles,Average
Ansley Gounel,Female,Product Management,"$38,440 ",Bellevue,Average
Daven Smout,Female,Support,"$50,800 ",Wellington,Very Good
Julietta Culross,Female,NULL,"$44,400 ",Bellevue,Average
Niall Selesnick,Female,Engineering,"$34,980 ",Bellevue,Good
Lia Lurner,Female,Support,"$77,260 ",Wellington,Average
Rodrigo Congdon,Female,Legal,"$117,940 ",Bellevue,Average
Brendan Edgeller,Female,Legal,"$31,040 ",Wellington,Good
Revkah Antonacci,Male,NULL,"$109,140 ",Wellington,Average
Dewey Berthod,Female,NULL,,Bellevue,Average
Fidelio Rigmond,Male,Services,"$96,370 ",Bellevue,Not Rated
Ginger Myott,Female,Services,"$31,170 ",Wellington,Average
Hatti Vezey,Female,Business Development,"$116,240 ",Los Angeles,Average
Eilis Pavlasek,Male,Product Management,"$115,190 ",Los Angeles,Very Poor
Kellsie Waby,Male,Training,"$79,570 ",Los Angeles,Average
Easter Pyke,Female,Training,"$95,680 ",Los Angeles,Very Good
Inger Andriveaux,,Accounting,"$107,110 ",Wellington,Good
Corina Triner,Male,Sales,"$66,100 ",Los Angeles,Poor
Loralyn Bruton,Male,Legal,"$39,960 ",Wellington,Average
Clari Boole,Male,NULL,"$111,850 ",Los Angeles,Average
Susy Challoner,Female,Business Development,"$29,890 ",Los Angeles,Good
Jan Morforth,Male,Marketing,"$48,170 ",Wellington,Good
Cindi Stratten,Female,Services,"$99,200 ",Bellevue,Good
Marline Wahncke,Male,Legal,"$72,840 ",Wellington,Average
Violetta Vial,Male,Engineering,"$68,970 ",Los Angeles,Average
Beatriz Bateson,Male,Marketing,"$89,090 ",Los Angeles,Good
Angeline Christophersen,Female,Engineering,"$86,940 ",Wellington,Poor
Evangelia Gowers,Male,Business Development,"$118,450 ",Los Angeles,Very Good
Fonzie O'Shea,Male,Product Management,"$80,360 ",Los Angeles,Average
Janene Hairsine,Female,Marketing,"$104,770 ",Wellington,Average
Linell Compfort,Female,Accounting,"$70,440 ",Wellington,Very Good
Shaylah Owbrick,Male,Support,"$56,900 ",Wellington,Average
Erin Androsik,Male,Human Resources,"$48,530 ",Bellevue,Very Good
Honor Herreros,Male,Research and Development,,Wellington,Average
Bethanne Leicester,,Services,"$72,450 ",Wellington,Not Rated
Ottilie Vittel,Female,Business Development,"$34,500 ",Wellington,Not Rated
Barnaby Farnall,,Engineering,"$118,800 ",Los Angeles,Very Good
Arlie Newcombe,Male,Accounting,,Bellevue,Not Rated
Ashien Gallen,Female,Research and Development,"$115,080 ",Wellington,Very Good
Stan Tolliday,Female,Sales,"$39,540 ",Bellevue,Average
Minetta Parsons,Female,Human Resources,"$110,770 ",Wellington,Average
Abe Gayter,Male,Training,,Bellevue,Good
Kissiah Maydway,Male,Accounting,"$106,460 ",Bellevue,Poor
Charline Husset,Male,Support,"$94,530 ",Wellington,Poor
Lorain Tew,Female,Business Development,"$71,590 ",Bellevue,Poor
North Bertomeu,Female,Marketing,"$104,900 ",Wellington,Good
Martita Beaumont,Male,Engineering,"$81,790 ",Bellevue,Not Rated
Janaya MacGinlay,Female,Support,"$33,050 ",Wellington,Average
Cara Havers,Male,Marketing,"$89,610 ",Los Angeles,Very Good
Ancell Moretto,Female,Product Management,"$96,920 ",Wellington,Very Poor
Minerva Ricardot,Male,NULL,"$105,470 ",Wellington,Not Rated
Toby Brodhead,Female,Accounting,"$98,400 ",Bellevue,Average
Tulley Chiddy,Female,Accounting,,Bellevue,Very Good
Niles Mahomet,Female,Human Resources,"$50,020 ",Wellington,Average
Avigdor Karel,Male,Training,"$71,210 ",Los Angeles,Average
Luca Wolstenholme,Male,Engineering,"$53,180 ",Los Angeles,Average
Efrem Mathonnet,Female,Human Resources,"$107,020 ",Los Angeles,Average
Latisha Jolly,Female,Research and Development,"$58,400 ",Bellevue,Average
Quentin Ferraresi,Female,Accounting,"$49,000 ",Wellington,Good
Marco Wooland,Female,Services,"$85,530 ",Los Angeles,Average
Thekla Lynnett,Male,Training,"$53,950 ",Bellevue,Poor
Pedro Carluccio,Male,Services,"$41,140 ",Bellevue,Average
Caron Kolakovic,Male,Accounting,"$49,920 ",Los Angeles,Average
Debera Gow,Female,Research and Development,"$39,700 ",Bellevue,Average
Hoyt D'Alesco,Male,Sales,"$53,540 ",Wellington,Poor
Rudyard Tomsa,Female,Marketing,"$43,900 ",Los Angeles,Good
Orran Gritskov,Female,Legal,"$72,700 ",Bellevue,Not Rated
Tyson Prescote,Male,Human Resources,"$29,420 ",Los Angeles,Average
Berenice Osbaldstone,Female,Legal,"$58,280 ",Wellington,Average
Jessika Jaycocks,Female,Research and Development,"$67,980 ",Bellevue,Average
Gabie Millichip,Male,Legal,"$49,760 ",Wellington,Very Good
Pearla Beteriss,Male,Services,"$69,910 ",Los Angeles,Good
Harwilll Domotor,Male,Training,"$112,370 ",Los Angeles,Average
Carolina Blumsom,Male,Legal,"$28,580 ",Wellington,Average
Ryon Baroch,Male,Accounting,"$43,590 ",Wellington,Poor
